px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.41988	-10.599	-2.73652	-1.47968	-0.890752	4.45788	-10.6457	4.45	-10.65	0	2.72554	0
4.41829	-10.4627	-2.72041	-1.53113	-0.893878	4.46329	-10.5756	4.45	-10.5	0	2.729	0.188521
4.41629	-10.3141	-2.72041	-1.58027	-0.893878	4.44057	-10.3382	4.45	-10.35	0	2.72898	0
4.45598	-10.1697	-2.69675	-1.64974	-0.911513	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.25672
4.47161	-10.023	-2.69675	-1.69988	-0.911513	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0
4.51155	-9.88125	-2.7005	-1.75501	-0.913807	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.281443
4.5426	-9.73684	-2.7005	-1.80523	-0.913807	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0
4.54645	-9.57137	-2.74993	-1.82276	-0.877642	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.21265
4.58791	-9.4265	-2.74993	-1.87106	-0.877642	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0
4.71058	-9.28759	-2.7456	-1.96444	-0.916733	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	1.01995
4.77209	-9.15043	-2.7456	-2.01482	-0.916733	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0
4.89515	-9.01644	-2.76243	-2.10291	-0.955817	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.674104
4.96812	-8.89965	-2.76243	-2.15071	-0.955817	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0
5.044	-8.78206	-2.75824	-2.18293	-0.930021	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	0.872773
5.13434	-8.66066	-2.75824	-2.23409	-0.930021	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0
5.26544	-8.55151	-2.78264	-2.30627	-0.953231	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.395867
5.36121	-8.45096	-2.78264	-2.35394	-0.953231	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0
