px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
87.067	23.5421	1.37902	-0.235585	0.0498455	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.75469
88.7914	22.7965	2.29617	-0.444553	-0.100464	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	1.09011
88.718	22.7664	2.07085	-0.60645	-0.271511	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.15887
89.5243	22.2836	0.913624	-0.612147	-0.139668	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	1.4903
89.5945	22.2945	1.13597	-0.523819	-0.0373071	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.993954
90.5039	21.6677	1.34722	-0.514733	-0.00821421	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0639622
90.5821	21.6868	1.43321	-0.449014	0.030431	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.67543
91.711	21.1134	1.55203	-0.333374	0.0791141	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.039377
91.7654	21.1279	1.36745	-0.407542	-0.0359855	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.06724
92.8515	20.9405	1.31925	-0.0358223	0.196708	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.275279
92.9199	20.9651	1.13833	-0.0166141	0.18279	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.47183
93.4903	20.2596	0.666759	-0.81579	-0.363846	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	1.84027
93.5654	20.3005	1.10596	-0.583266	-0.137371	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.64216
95.2559	19.6481	2.37567	0.0695714	0.313048	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	3.33702
95.072	19.6405	1.56617	-0.110739	0.164453	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	7.13716
95.5271	19.6974	0.890489	0.151209	0.215195	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0.780739
95.5372	19.6994	0.869493	0.153012	0.215683	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0333174
96.2574	19.218	0.801018	-0.788097	-0.408733	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.84377
96.307	19.2472	1.05	-0.620242	-0.261347	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.747761
97.4834	18.7157	1.73399	-0.188914	0.119583	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.46757
97.4372	18.7153	1.41383	-0.308026	-0.0107012	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.779661
98.2194	18.3712	1.15264	-0.265884	0.0146861	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.0927915
98.2399	18.3754	1.019	-0.293416	-0.02138	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.313938
99.0404	17.3891	1.3307	-1.1445	-0.466394	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.963694
99.0486	17.4373	1.39963	-0.692267	-0.041831	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.0992
99.9864	16.9692	1.13002	-0.389477	0.155583	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.395629
